sku,item,field,erp_current,her_value,action
BG004-1,Bioglan Red Krill Oil Double Strength 1000mg 60 Capsules,Brand,,Bioglan,FILL
BG005-1,Bioglan Glucosamine 1500mg 200 Tablets,Discounted Price,,18800,FILL
BM002-1,Blackmores Fish Oil 1000 Odourless 400 Capsules,Barcode,,9300807287378,FILL
BM010-1,Blackmores Fish oil 1000mg 200 Capsules,Brand,,Blackmores,FILL
BS001-1,Boots Everyday Cod liver Oil 240 capsules,Brand,,Boots everydat,FILL
CG001-1,California Gold Nutrition CollagenUP 206g,Brand,,California Gold Nutrition,FILL
CG003-1,California Gold Nutrition Vitamin C Quali-C 1000mg 60 Veg Capsules,Brand,,California Gold Nutrition,FILL
CT021-1,Centrum Women 50+ 30 Tablets,Brand,,Centrum,FILL
CT024-2,Centrum Women Multivitamin  60 Tablets,Brand,,Centrum,FILL
CT027-1,Centrum Women Multivitamins & Mineral 30 Tablets,Brand,,Centrum,FILL
CT030-1,Centrum Advance Multivitamins & Minerals 30 Tablets,Brand,,Centrum,FILL
CT031-1,Centrum Advance 50 + Multivitamin 30 Tablets,Brand,,Centrum,FILL
CT032-1,Centrum Vitamin D Boost Multivitamin 30 Tablets,Brand,,Centrum,FILL
CT033-1,Centrum Women Multivitamin 120 Tablets,Brand,,Centrum,FILL
CT034-1,Centrum Advance 50+ Multivitamins & Minerals 100 Tablets,Brand,,Centrum,FILL
CT035-1,Centrum  Advanced Adults  Multivitamin and Mineral  100 Tablets,Brand,,Centrum,FILL
CT036-1,Centrum Men Multivitamins & Minerals 60 Tablets,Brand,,Centrum,FILL
CT037-1,Centrum Men 50+ Multivitamins & Minerals  30 Tablets,Brand,,Centrum,FILL
CT038-1,"Centrum MultiGummies Cherry, Berry & Orange 30 gummies",Brand,,Centrum,FILL
FE001-1,Feroglobin Gentle Iron Slow Release Capsules  30 Capsules,Brand,,Feroglobin,FILL
GEH01-1,Genuine Health Omega 3 120 Softgels,Brand,,Genuine Health,FILL
HC007-1,Healthy Care Vitamin C 500mg Chewable 500 Tablets,Brand,,Healthy Care,FILL
HC012-2,Healthy Care High Strength Ashwagandha 60 Tablets,Brand,,Healthy Care,FILL
HC016-1,Healthy Care Super Joint & Arthritis Relief 200 Capsules,Brand,,Healthy Care,FILL
HC017-1,Healthy Care Blood Sugar Balance Plus 90 Tablets,Brand,,Healthy Care,FILL
